date_time,ID,estimator,clf,param_grid,cv,scoring,feature_groups_selected,drop_features,omit_scaling_features,model,scaling,pca_components,additional_info
2023-10-27--14-30-19,0,,,,,,,,,,,False,
2023-10-27--14-30-21,1,,SVC,"C=[100.0, 10000.0, 13]|kernel=['rbf']|gamma=[1e-07, 0.0001, 15]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,SVM,robust,False,
2023-10-27--15-07-26,2,,LinearSVC,"C=[0.0001, 1000.0, 20]|penalty=['l1', 'l2']|loss=['squared_hinge']",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,SVM,robust,False,
2023-10-27--15-41-18,3,,GaussianNB,"var_smoothing=[1e-12, 1e-05, 3]|priors=[None]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,NaiveBayes,robust,False,
2023-10-27--15-43-55,4,,GaussianNB,"var_smoothing=[1e-12, 1e-05, 3]|priors=[None]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,NaiveBayes,standard,False,
2023-10-27--16-07-29,5,,KNeighborsClassifier,"n_neighbors=[10, 99, 90]|weights=['uniform', 'distance']",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,KNN,standard,False,
2023-10-30--20-01-57,6,,SVC,"C=[0.0001, 0.1, 4]|kernel=['poly']|gamma=[1e-09, 1e-06, 4]|degree=[3, 3, 1]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,SVM,robust,False,
2023-10-31--11-49-23,7,,MLPClassifier,"alpha=[1e-06, 1, 7]|hidden_layer_sizes=[(100,), (50,), (50, 50)]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,MLP,robust,False,
2023-10-31--11-55-13,8,,MLPClassifier,"alpha=[1e-06, 1000, 10]|hidden_layer_sizes=[(100,), (50,), (25,), (10,), (50, 50), (25, 25)]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,MLP,robust,False,
2023-10-31--12-02-52,9,,MLPClassifier,"alpha=[0.01, 10, 4]|hidden_layer_sizes=[(80,), (70,), (60,), (50,), (40,), (30,)]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,MLP,robust,False,
2023-10-31--13-38-00,10,,QuadraticDiscriminantAnalysis,"reg_param=[0, 100, 10]|tol=[1e-06, 1000.0, 10]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,QDA,robust,False,
2023-10-31--13-50-31,11,,QuadraticDiscriminantAnalysis,"reg_param=[0.01, 1.0, 10]|tol=[0, 1e-05, 3]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,QDA,robust,False,
2023-11-03--10-55-58,12,,GaussianProcessClassifier,"optimizer=['fmin_l_bfgs_b', None]|n_restarts_optimizer=[0, 15, 4]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,GPC,robust,False,
2023-11-03--11-05-23,13,,RidgeClassifier,"alpha=[1e-05, 1000, 9]|tol=[1e-06, 0.01, 5]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,logReg,robust,False,
2023-11-03--11-09-51,14,,RidgeClassifier,"alpha=[100, 1000000, 5]|tol=[1e-06, 1e-05, 2]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,logReg,robust,False,
2023-11-03--11-23-00,15,,RidgeClassifier,"alpha=[1000.0, 100000.0, 10]|tol=[1e-06, 1e-05, 2]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,logReg,robust,False,
2023-11-03--15-34-40,16,,RandomForestClassifier,"n_estimators=[10, 150, 6]|max_depth=[2, 50, 5]|min_samples_leaf=[2, 50, 5]|min_samples_split=[10, 120, 4]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,DecisionTree,robust,False,
2023-11-10--11-48-52,17,,RandomForestClassifier,"n_estimators=[50, 225, 8]|max_depth=[10, 45, 8]|min_samples_leaf=[2, 9, 8]|min_samples_split=[2, 48, 24]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,DecisionTree,robust,False,
2023-11-10--11-57-51,18,DecisionTreeClassifier(max_depth=1),AdaBoostClassifier,"n_estimators=[50, 350, 7]|learning_rate=[0.01, 1.0, 10]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,DecisionTree,robust,False,
2023-11-10--12-27-24,19,,MLPClassifier,"alpha=[0.01, 1000.0, 10]|hidden_layer_sizes=[(70,), (60,), (50,), (40,), (50, 10), (50, 20)]|solver=['lbfgs']|activation=['logistic', 'tanh', 'relu']",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,MLP,robust,False,
2023-11-10--13-25-49,20,DecisionTreeClassifier(max_depth=1),AdaBoostClassifier,"n_estimators=[10, 140, 14]|learning_rate=[0.1, 0.4, 4]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,DecisionTree,robust,False,
2023-11-10--13-46-05,21,,DecisionTreeClassifier,"max_depth=[3, 12, 10]|min_samples_split=[40, 110, 8]|min_samples_leaf=[3, 7, 5]",5.0,roc_auc,gnomad|cellxgene|descartes|gtex|mgi|paralogues|phasCons|CpG_o2e,,paralogues|mgi,DecisionTree,robust,False,
